hip,ra,dec,mag,spect,ci,con,var_min,var_max
1638,0.341759,10.91774,7.03,K0,1.039,Psc,,
1639,0.341924,48.968633,6.46,G0,0.564,Cas,,
1640,0.342086,30.974804,7.52,K1IV,0.961,And,,
1641,0.342171,43.694279,7.93,A2,0.174,And,,
1642,0.342495,45.508927,7,F5,0.563,And,,
1643,0.342808,15.324054,9.78,F0,0.487,Psc,,
1644,0.342817,56.556923,6.73,G5,0.817,Cas,,
1645,0.343295,8.190271,5.38,K3III,1.343,Psc,,
1646,0.343946,12.311071,8.09,F5,0.462,Psc,,
1647,0.344178,-69.624913,5.5,B9V,-0.046,Tuc,,
1648,0.344281,-41.095339,9.6,G8/K0III:,1.022,Phe,,
1649,0.344874,-87.666956,8.73,G2V,0.627,Oct,,
1650,0.344873,46.546017,9.07,K2,1.2,And,,
1651,0.345414,-71.977991,8.3,K0IV,1.152,Tuc,,
1652,0.345434,61.879595,6.8,M2II:,2.02,Cas,6.857,6.757
1653,0.345457,3.449507,8.08,K0,1.196,Psc,,
1654,0.345659,-15.667542,9.14,K0,0.725,Cet,,
1655,0.345704,-25.466672,8.38,G5III,1.48,Scl,8.451,8.341
1656,0.345979,26.5137,7.39,K5III,1.417,And,,
1657,0.345978,32.911186,5.79,K5III,1.595,And,,
1658,0.346361,-13.631362,8.74,G8IV,1.041,Cet,,
1659,0.346523,-28.898569,10.98,K3V,1.013,Scl,,
1660,0.346828,-23.630223,6.78,F0IV,0.311,Cet,,
1661,0.347055,-4.115953,8.79,M...,1.231,Psc,,
1662,0.347109,-36.477704,8.67,K0III,1.066,Scl,,
1663,0.347163,-0.871097,9.3,A5,0.362,Psc,,
1664,0.347266,18.482123,7.65,G5,0.924,Psc,,
1665,0.347646,-81.612067,9.58,F7V,0.546,Hyi,,
1666,0.347872,-19.931225,8.17,F7V,0.523,Cet,,
1667,0.348261,-39.239873,7.14,F6V,0.506,Scl,,
1668,0.34833,-29.689832,8.38,F7V,0.536,Scl,,
1669,0.348368,32.978005,6.9,F5,0.478,And,,
